UserID,CourseID,Amount,CourseCategory,CourseLevel,CourseRating,DiversityScore,EnrollmentFrequency,LearningDepth,Cluster
U00001,1,394.26,2,2,1.35,1,1,2.0,2
U00002,1,0.0,9,1,2.88,1,1,1.0,1
U00003,11,613.98,8,0,2.889090909090909,7,11,2.0,3
U00004,13,982.05,5,2,3.4515384615384614,8,13,1.9230769230769231,3
U00005,2,346.71,9,0,2.0549999999999997,2,2,2.0,0
U00006,1,0.78,7,0,3.89,1,1,3.0,0
U00007,1,0.0,2,2,1.91,1,1,2.0,2
U00008,1,0.0,6,2,4.1,1,1,2.0,1
U00009,1,276.37,4,0,2.72,1,1,3.0,0
U00010,2,326.02,0,1,3.165,2,2,1.5,2
U00011,2,299.57,3,0,3.205,2,2,2.0,0
U00012,2,327.99,4,0,1.5150000000000001,2,2,2.0,0
U00013,14,1432.33,7,0,2.869285714285714,8,14,2.0,3
U00014,1,0.0,7,0,1.81,1,1,3.0,0
U00015,14,2035.06,0,1,2.7607142857142857,10,14,1.7142857142857142,3
U00016,1,0.0,8,0,4.79,1,1,3.0,0
U00017,3,963.18,0,1,4.6499999999999995,3,3,1.3333333333333333,2
U00018,16,1468.03,0,1,3.1081250000000002,9,16,1.8125,3
U00019,1,0.0,4,1,4.51,1,1,1.0,1
U00020,1,0.0,9,1,2.88,1,1,1.0,1
U00021,2,177.34,2,0,3.135,2,2,3.0,0
U00022,1,0.0,10,1,4.68,1,1,1.0,1
U00023,1,0.0,4,1,4.51,1,1,1.0,1
U00024,1,0.0,2,2,3.93,1,1,2.0,2
U00025,4,119.04,6,0,2.605,4,4,2.25,0
U00026,1,327.99,10,1,1.51,1,1,1.0,1
U00027,2,0.0,2,0,2.915,2,2,2.5,0
U00028,12,1012.66,6,1,3.015,9,12,1.9166666666666667,3
U00029,1,326.02,1,2,2.69,1,1,2.0,2
U00030,1,0.0,10,2,3.45,1,1,2.0,1
U00031,1,0.0,11,1,2.2,1,1,1.0,1
U00032,1,285.05,1,1,1.96,1,1,1.0,2
U00033,1,276.37,4,0,2.72,1,1,3.0,0
U00034,2,248.1,0,1,2.67,2,2,1.0,2
U00035,1,0.78,7,0,3.89,1,1,3.0,0
U00036,1,0.0,9,1,3.85,1,1,1.0,1
U00037,2,0.0,2,0,1.9849999999999999,2,2,3.0,0
U00038,1,0.0,2,2,3.93,1,1,2.0,2
U00039,1,346.71,10,0,1.23,1,1,3.0,0
U00040,1,0.0,9,1,3.85,1,1,1.0,1
U00041,2,326.02,1,1,3.5650000000000004,2,2,1.5,2
U00042,1,89.59,0,2,2.68,1,1,2.0,2
U00043,1,327.99,10,1,1.51,1,1,1.0,1
U00044,1,299.57,3,1,3.74,1,1,1.0,2
U00045,14,1209.79,10,1,3.375,9,14,1.7857142857142858,3
U00046,2,0.0,4,0,1.325,2,2,2.0,0
U00047,1,0.0,3,2,3.6,1,1,2.0,2
U00048,13,356.89,4,1,3.329230769230769,9,13,1.8461538461538463,3
U00049,1,0.0,10,2,3.45,1,1,2.0,1
U00050,1,0.0,4,0,2.61,1,1,3.0,0
U00051,1,0.0,4,1,4.51,1,1,1.0,1
U00052,1,0.78,7,0,3.89,1,1,3.0,0
U00053,1,53.86,6,1,2.47,1,1,1.0,1
U00054,1,490.9,0,1,4.55,1,1,1.0,2
U00055,16,1448.25,4,0,3.055625,9,16,2.375,3
U00056,2,0.0,4,0,2.745,2,2,2.0,0
U00057,1,487.92,1,0,3.64,1,1,3.0,0
U00058,1,117.68,3,0,2.57,1,1,3.0,0
U00059,1,0.0,4,1,4.51,1,1,1.0,1
U00060,4,53.86,6,1,3.515,3,4,1.25,1
U00061,1,0.0,2,2,1.91,1,1,2.0,2
U00062,1,0.0,9,1,3.85,1,1,1.0,1
U00063,2,299.57,3,1,3.31,2,2,1.0,2
U00064,1,276.37,4,0,2.72,1,1,3.0,0
U00065,1,0.0,11,0,2.67,1,1,3.0,0
U00066,1,327.99,10,1,1.51,1,1,1.0,1
U00067,1,119.04,6,2,2.75,1,1,2.0,1
U00068,1,0.0,10,2,3.45,1,1,2.0,1
U00069,2,0.0,4,0,3.67,2,2,2.5,0
U00070,2,0.0,5,2,4.6899999999999995,2,2,2.0,1
U00071,14,641.94,9,1,2.777857142857143,8,14,1.7857142857142858,3
U00072,1,326.02,1,2,2.69,1,1,2.0,2
U00073,1,0.78,7,0,3.89,1,1,3.0,0
U00074,3,963.18,9,1,3.5233333333333334,2,3,1.0,1
U00075,1,0.0,4,0,4.45,1,1,3.0,0
U00076,4,472.28,1,1,3.0949999999999998,4,4,1.5,2
U00077,1,0.0,8,2,4.11,1,1,2.0,1
U00078,1,0.0,8,2,4.11,1,1,2.0,1
U00079,1,0.0,2,1,4.94,1,1,1.0,2
U00080,1,0.0,9,1,2.88,1,1,1.0,1
U00081,1,0.0,4,0,1.52,1,1,3.0,0
U00082,1,0.0,10,1,4.68,1,1,1.0,1
U00083,15,1661.3,0,2,2.9953333333333334,9,15,2.0,3
U00084,1,327.99,10,1,1.51,1,1,1.0,1
U00085,13,1149.12,2,1,2.9084615384615384,7,13,1.6923076923076923,3
U00086,4,53.86,1,0,2.47,4,4,2.25,0
U00087,3,0.0,7,2,4.506666666666667,3,3,1.6666666666666667,1
U00088,1,0.0,0,1,3.64,1,1,1.0,2
U00089,1,0.0,7,2,4.73,1,1,2.0,1
U00090,1,0.0,10,2,3.45,1,1,2.0,1
U00091,1,0.0,6,1,4.14,1,1,1.0,1
U00092,4,594.81,0,0,2.7175000000000002,4,4,2.0,0
U00093,1,285.05,1,1,1.96,1,1,1.0,2
U00094,1,299.57,3,1,3.74,1,1,1.0,2
U00095,1,248.1,0,1,1.2,1,1,1.0,2
U00096,4,0.0,7,1,2.58,3,4,1.5,1
U00097,2,0.0,2,0,2.0949999999999998,2,2,3.0,0
U00098,1,0.0,4,0,4.45,1,1,3.0,0
U00099,1,299.57,3,1,3.74,1,1,1.0,2
U00100,1,0.0,5,1,2.14,1,1,1.0,1
U00101,1,89.59,0,2,2.68,1,1,2.0,2
U00102,1,299.57,3,1,3.74,1,1,1.0,2
U00103,1,0.0,1,0,2.0,1,1,3.0,0
U00104,1,53.86,6,1,2.47,1,1,1.0,1
U00105,1,299.57,3,1,3.74,1,1,1.0,2
U00106,2,57.32,5,0,3.4400000000000004,2,2,2.0,0
U00107,1,0.0,9,1,3.85,1,1,1.0,1
U00108,2,0.0,4,0,2.965,2,2,2.0,0
U00109,14,869.77,3,1,3.157857142857143,10,14,1.6428571428571428,3
U00110,1,487.92,1,0,3.64,1,1,3.0,0
U00111,1,0.0,5,1,2.14,1,1,1.0,1
U00112,14,565.8,3,0,3.165714285714286,9,14,2.0,3
U00113,1,346.71,10,0,1.23,1,1,3.0,0
U00114,1,0.0,2,0,2.38,1,1,3.0,0
U00115,1,0.0,7,2,1.73,1,1,2.0,1
U00116,1,0.0,4,0,1.52,1,1,3.0,0
U00117,13,1885.87,2,1,3.373076923076923,9,13,1.7692307692307692,3
U00118,1,0.0,1,0,2.0,1,1,3.0,0
U00119,1,57.32,11,0,4.74,1,1,3.0,0
U00120,2,415.51,0,1,3.215,2,2,1.5,2
U00121,2,328.77,7,0,2.7,2,2,2.0,0
U00122,2,0.0,5,1,2.895,2,2,1.5,1
U00123,2,356.89,3,0,4.24,2,2,2.0,0
U00124,2,460.49,0,0,2.175,2,2,2.0,0
U00125,2,326.02,1,0,2.25,2,2,2.5,0
